,정보공시 학교코드,학교명,1학년 학생수,학교도로명 주소,위도,경도
196,S010001231,서울신구로초등학교,68,서울특별시 구로구 가마산로27길 69,37.4996591332,126.8897652795
197,S010001232,서울신대림초등학교,73,서울특별시 영등포구 대림로8길 25,37.4918204,126.9057565
198,S010001233,서울신도림초등학교,217,서울특별시 구로구 신도림로19길 44,37.5123256,126.8833965
199,S010001234,서울신미림초등학교,139,서울특별시 구로구 신도림로 26,37.5071419202,126.8795526272
200,S010001235,서울신영초등학교,80,서울특별시 영등포구 도신로4길 32,37.5010055678,126.8960964009
201,S010001236,서울신흥초등학교,108,서울특별시 금천구 독산로36나길 21,37.4593466248,126.9093512555
202,S010001237,서울안천초등학교,30,서울특별시 금천구 한내로 69-16,37.4585983,126.8884707
203,S010001238,서울여의도초등학교,183,서울특별시 영등포구 여의대방로 439,37.5232062635,126.9367950045
204,S010001239,서울영남초등학교,29,서울특별시 금천구 문성로 62-15,37.475435,126.909864
205,S010001240,서울영동초등학교,90,서울특별시 영등포구 국회대로53길 20,37.52653,126.907419
206,S010001241,서울영등포초등학교,54,서울특별시 영등포구 경인로 756,37.5129475656,126.8982605917
207,S010001242,서울영림초등학교,34,서울특별시 영등포구 시흥대로173길 14,37.48744,126.902652
208,S010001243,서울영서초등학교,117,서울특별시 구로구 도림로20길 57,37.4883984,126.8947321
209,S010001244,서울영신초등학교,127,서울특별시 영등포구 도신로60길 23,37.509809701,126.9184290999
210,S010001245,서울영원초등학교,99,서울특별시 영등포구 도영로 22길 31,37.510888,126.902189
211,S010001246,서울영일초등학교,34,서울특별시 구로구 남부순환로105길 218,37.4856445741,126.8838113655
212,S010001247,서울영중초등학교,76,서울특별시 영등포구 양산로 185,37.523798,126.9039299
213,S010001248,서울오류남초등학교,123,서울특별시 구로구 서해안로24길 22,37.4896863391,126.8391137443
214,S010001249,서울오류초등학교,110,서울특별시 구로구 경인로19길 39,37.498249,126.842191
215,S010001250,서울오정초등학교,59,서울특별시 구로구 경인로2길 10,37.489698,126.826203
216,S010001251,서울온수초등학교,142,서울특별시 구로구 부일로 893,37.494168,126.826022
217,S010001252,서울우신초등학교,36,서울특별시 영등포구 신길로 190,37.5092628,126.9117832
218,S010001253,서울윤중초등학교,82,서울특별시 영등포구 여의나루로2길 14,37.519335,126.923152
219,S010001254,서울정심초등학교,51,서울특별시 금천구 독산로78다길 89,37.4719923388,126.9082145562
220,S010001255,서울탑동초등학교,73,서울특별시 금천구 탑골로 47-3,37.4525178069,126.9153675372
221,S010001394,경희초등학교,122,서울특별시 동대문구 경희대로 26,37.594945,127.049092
222,S010001395,금성초등학교,122,서울특별시 중랑구 신내로21길 55,37.6150693,127.0900306
223,S010001396,서울삼육초등학교,123,서울특별시 동대문구 회기로10길 63,37.5887703315,127.0471735604
224,S010001397,서울군자초등학교,54,서울특별시 동대문구 한천로6길 21,37.5641238492,127.0605230733
225,S010001398,서울답십리초등학교,169,서울특별시 동대문구 전농로3길 23,37.568665,127.055616
226,S010001399,서울동답초등학교,76,서울특별시 동대문구 답십리로60길 12,37.5715029534,127.0640336428
227,S010001400,서울동원초등학교,64,서울특별시 중랑구 송림길 114,37.6045765325,127.1044914165
228,S010001401,서울망우초등학교,51,서울특별시 중랑구 망우로72길 49,37.59834,127.10358
229,S010001402,서울면남초등학교,50,서울특별시 중랑구 면목로30나길 38,37.577035,127.088157
230,S010001403,서울면동초등학교,173,서울특별시 중랑구 면목로57길 32,37.5853530544,127.0865941198
231,S010001404,서울면목초등학교,92,서울특별시 중랑구 면목로 434,37.5906972297,127.0872887294
232,S010001405,서울면북초등학교,20,서울특별시 중랑구 용마공원로5길 32,37.5944177943,127.1035487055
233,S010001406,서울면일초등학교,100,서울특별시 중랑구 용마산로100길 13,37.5920424099,127.0997952795
234,S010001407,서울면중초등학교,44,서울특별시 중랑구 용마산로70길 43,37.5824405304,127.0965490647
235,S010001408,서울묵동초등학교,67,서울특별시 중랑구 동일로138길 27,37.6033589544,127.0808258579
236,S010001409,서울배봉초등학교,71,서울특별시 동대문구 사가정로 193,37.580154,127.065973
237,S010001410,서울봉화초등학교,90,서울특별시 중랑구 신내로15길 110,37.61351,127.092392
238,S010001411,서울상봉초등학교,114,서울특별시 중랑구 동일로126가길 11,37.597980214,127.0831708543
239,S010001412,서울신내초등학교,99,서울특별시 중랑구 용마산로125나길 22,37.6049335018,127.1001295936
240,S010001413,서울신답초등학교,85,서울특별시 동대문구 천호대로 177,37.5727054198,127.0429614615
241,S010001414,서울신묵초등학교,67,서울특별시 중랑구 동일로149길 46,37.6065229379,127.0758371918
242,S010001415,서울신현초등학교,88,서울특별시 중랑구 봉화산로 188,37.6056743,127.0936591
243,S010001416,서울안평초등학교,181,서울특별시 동대문구 장한로14길 61,37.5659698352,127.0720336504
244,S010001417,서울용두초등학교,56,서울특별시 동대문구 천호대로13길 43,37.5764147141,127.0283873066
245,S010001418,서울원묵초등학교,155,서울특별시 중랑구 숙선옹주로 109,37.6177489018,127.086812905
246,S010001419,서울이문초등학교,106,서울특별시 동대문구 신이문로 16,37.6022,127.064343
247,S010001420,서울장평초등학교,199,서울특별시 동대문구 답십리로,37.573776,127.073311
248,S010001421,서울전곡초등학교,42,서울특별시 동대문구 전농로 172,37.580525,127.05645
249,S010001422,서울전농초등학교,188,서울특별시 동대문구 사가정로 66,37.574552,127.054227
250,S010001423,서울전동초등학교,127,서울특별시 동대문구 전농로16길 61,37.5790838251,127.0608068823
251,S010001424,서울종암초등학교,65,서울특별시 동대문구 무학로44길 25,37.5823063288,127.0318584204
252,S010001425,서울중곡초등학교,110,서울특별시 중랑구 면목로23길 20,37.574723,127.083504
253,S010001426,서울중랑초등학교,113,서울특별시 중랑구 봉우재로6길 26,37.5896638101,127.0755030522
254,S010001427,서울중목초등학교,76,서울특별시 중랑구 동일로 665,37.5900865407,127.0793712712
255,S010001428,서울중화초등학교,190,서울특별시 중랑구 신내로7가길 22,37.6029202731,127.0940660124
256,S010001429,서울중흥초등학교,29,서울특별시 중랑구 봉화산로 82,37.6016735855,127.0841443286
257,S010001430,서울청량초등학교,89,서울특별시 동대문구 회기로25길 31,37.5923092187,127.0559080257
258,S010001431,서울홍릉초등학교,60,서울특별시 동대문구 회기로 90,37.591592,127.04719
259,S010001432,서울홍파초등학교,36,서울특별시 동대문구 고산자로 518,37.5862035115,127.0395182754
260,S010001433,서울휘경초등학교,52,서울특별시 동대문구 망우로6길 48,37.5857622,127.0581161
261,S010001434,은석초등학교,122,서울특별시 동대문구 장안벚꽃로 205,37.578434,127.075702
262,S010001576,서울강남초등학교,113,서울특별시 동작구 강남초등길 15,37.505892,126.953153
263,S010001577,서울관악초등학교,99,서울 관악구 청룡4길 49,37.480703,126.943318
264,S010001578,서울구암초등학교,202,서울특별시 관악구 구암길 1,37.4892099,126.9469194
265,S010001579,서울난곡초등학교,47,서울특별시 관악구 난곡로35길 102,37.4691295565,126.916343592
266,S010001580,서울난우초등학교,113,서울특별시 관악구 난우길 40,37.477123,126.917524
267,S010001581,서울난향초등학교,134,서울특별시 관악구 난향길 9,37.4624143,126.9180741
268,S010001582,서울남부초등학교,76,서울특별시 관악구 남부순환로163길 14,37.4851210569,126.9221826433
269,S010001583,서울남사초등학교,99,서울특별시 동작구 동작대로13길 22,37.482523,126.978839
270,S010001584,서울남성초등학교,97,서울특별시 동작구 사당로23길 57-14,37.4845963277,126.9754872048
271,S010001585,서울노량진초등학교,47,서울특별시 동작구 장승배기로 160,37.5117511917,126.9408222377
272,S010001586,서울당곡초등학교,96,서울특별시 관악구 보라매로2길 23,37.4901,126.92991
273,S010001587,서울대림초등학교,136,서울특별시 동작구 대방동1길 22,37.500823,126.925235
274,S010001588,서울동작초등학교,86,서울특별시 동작구 동작대로29길 214,37.4941147813,126.9765108674
275,S010001589,서울문창초등학교,64,서울특별시 동작구 신대방2길 14,37.4889831201,126.9148424622
276,S010001590,서울미성초등학교,131,서울특별시 관악구 문성로 79,37.4781377,126.9126553
277,S010001591,서울본동초등학교,22,서울특별시 동작구 노량진로26길 16-40,37.5099261605,126.9538533264
278,S010001592,서울봉천초등학교,118,서울특별시 관악구 행운1라길 17,37.482891,126.957922
279,S010001593,서울사당초등학교,123,서울특별시 관악구 남현4길 51,37.4738378145,126.9733518093
